"datasetid","doi"
1786,"10.1139/b68-190"
1786,"10.1017/S0033822200011413"
1786,"10.2307/1942662"
1793,"10.1007/BF00226322"
1794,"10.2307/2259121"
1794,"10.1017/S0033822200003404"
1817,"10.1007/BF00207576"
1818,"10.1016/S0034-6667(00)00042-7"
1819,"10.1016/S0034-6667(00)00042-7"
1824,"10.1016/0033-5894(79)90034-6"
1826,"10.1016/0033-5894(77)90074-6"
1831,"10.2307/2259121"
1831,"10.1017/S0033822200003404"
1840,"10.1007/BF00226322"
1845,"10.7202/033138ar"
1869,"10.1139/e91-055"
1870,"10.1139/e91-055"
1871,"10.1139/e91-055"
1872,"10.1139/e91-055"
1873,"10.1139/e91-055"
1891,"10.1177/095968369200200105"
1893,"10.1139/e91-055"
1902,"10.1139/e75-065"
1902,"10.1139/e72-089"
1968,"0.1139/e80-122"
2006,"10.2307/1933597"
2027,"10.1017/S0033822200005348"
2028,"10.1017/S0033822200005348"
2033,"10.1139/e91-055"
2034,"10.1139/e91-055"
2035,"10.1139/e91-055"
2263,"10.1016/0033-5894(92)90074-S"
2267,"10.7202/1000063ar"
2309,"10.1016/0033-5894(88)90034-8"
2314,"10.1016/0033-5894(75)90027-7"
2320,"10.1007/BF01092417"
2326,"10.1080/01916122.1983.9989252"
2328,"10.1080/01916122.1983.9989252"
2348,"10.1006/qres.1997.1903"
2349,"10.2307/1934159"
2353,"10.1139/e86-005"
2353,"10.1139/e86-006"
2371,"10.4116/jaqua.34.5_359"
2371,"10.1191/095968300667552216"
2372,"10.1139/b76-194"
2376,"10.1006/qres.1997.1903"
2386,"10.2307/2261663"
2392,"10.1017/S0033822200005348"
2393,"10.1017/S0033822200005348"
2477,"10.1016/0034-6667(68)90035-3"
2478,"10.1016/0034-6667(68)90035-3"
2479,"10.1016/0034-6667(68)90035-3"
2480,"10.1016/0034-6667(68)90035-3"
2481,"10.1016/0034-6667(68)90035-3"
2482,"10.1016/0034-6667(68)90035-3"
2483,"10.1016/0034-6667(68)90035-3"
2484,"10.1016/0034-6667(68)90035-3"
2485,"10.1016/0034-6667(68)90035-3"
2486,"10.1016/0034-6667(68)90035-3"
2487,"10.1016/0034-6667(68)90035-3"
2488,"10.1016/0034-6667(68)90035-3"
2489,"10.1016/0034-6667(68)90035-3"
2490,"10.1016/0034-6667(68)90035-3"
2491,"10.1016/0034-6667(68)90035-3"
2492,"10.1016/0034-6667(68)90035-3"
2493,"10.1016/0034-6667(68)90035-3"
2494,"10.1016/0034-6667(68)90035-3"
2495,"10.1016/0034-6667(68)90035-3"
